Species_Name,Breed_Name
Dog,Jack Russell Terrier/Yorkshire Terrier
Cat,Domestic Shorthair Mix
Dog,Rat Terrier
Dog,German Shepherd Mix
Dog,German Shepherd Mix
Dog,German Shepherd Mix
Dog,German Shepherd Mix
Cat,Domestic Shorthair Mix
Dog,Chihuahua Shorthair Mix
Dog,American Staffordshire Terrier Mix
Other,Raccoon Mix
Other,Lizard Mix
Dog,Rottweiler Mix
Cat,Domestic Medium Hair Mix
Cat,Domestic Shorthair Mix
Cat,Snowshoe Mix
Cat,Domestic Shorthair Mix
Dog,Australian Cattle Dog Mix
Dog,Catahoula Mix
Dog,Catahoula Mix
Dog,Catahoula Mix
Dog,Catahoula Mix
Dog,Catahoula Mix
Dog,Catahoula Mix
Dog,Catahoula Mix
Dog,Catahoula Mix
Dog,Catahoula Mix
Dog,Labrador Retriever Mix
Other,Guinea Pig Mix
Dog,Chihuahua Shorthair Mix
Dog,Chihuahua Shorthair/Dachshund
Dog,Pit Bull Mix
Dog,Collie Smooth Mix
Dog,Collie Smooth Mix
Dog,Collie Smooth Mix
Dog,Collie Smooth Mix
Dog,Collie Smooth Mix
Dog,Collie Smooth Mix
Dog,Collie Smooth Mix
Dog,Collie Smooth Mix
Dog,Collie Smooth Mix
Dog,Shih Tzu Mix
Cat,Domestic Shorthair Mix
Other,Rabbit Sh Mix
Cat,Domestic Shorthair Mix
Other,Raccoon Mix
Cat,Domestic Medium Hair Mix
Cat,Domestic Medium Hair Mix
Cat,Domestic Medium Hair Mix
Cat,Domestic Medium Hair Mix
Dog,Pit Bull Mix
Dog,Pit Bull Mix
Dog,Pit Bull Mix
Dog,Pit Bull Mix
Dog,Border Collie Mix
Dog,Border Collie Mix
Dog,Border Collie Mix
Dog,Border Collie Mix
Dog,Labrador Retriever/Dachshund
Dog,Labrador Retriever/Dachshund
Dog,Labrador Retriever/Dachshund
Dog,Labrador Retriever/Dachshund
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Dog,Pit Bull
Cat,Domestic Shorthair Mix
Dog,Pit Bull Mix
Dog,German Shepherd Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Dog,Labrador Retriever Mix
Dog,Labrador Retriever Mix
Dog,Labrador Retriever Mix
Dog,Labrador Retriever Mix
Dog,Leonberger
Cat,Domestic Shorthair Mix
Cat,Tonkinese Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Other,Bat
Cat,Domestic Longhair Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Dog,Chihuahua Shorthair/Dachshund
Cat,Domestic Shorthair Mix
Dog,Pit Bull Mix
Dog,Australian Shepherd Mix
Dog,Australian Shepherd Mix
Dog,Australian Shepherd Mix
Dog,Australian Shepherd Mix
Dog,Dachshund/Chihuahua Shorthair
Dog,Yorkshire Terrier Mix
Dog,American Bulldog Mix
Dog,Beauceron Mix
Dog,Beauceron Mix
Dog,Beauceron Mix
Dog,Beauceron Mix
Dog,Beauceron Mix
Dog,Beauceron Mix
Dog,Beauceron Mix
Dog,Beauceron Mix
Dog,Beauceron Mix
Cat,Domestic Shorthair Mix
Dog,Pit Bull Mix
Dog,Pit Bull Mix
Dog,Pit Bull Mix
Dog,Pit Bull Mix
Dog,Pit Bull Mix
Dog,Pit Bull Mix
Dog,Pit Bull Mix
Dog,Pit Bull Mix
Dog,Pit Bull Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Other,Opossum
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Dog,Pomeranian Mix
Dog,Dachshund Wirehair/Norfolk Terrier
Cat,Domestic Shorthair Mix
Dog,Maltese/Miniature Poodle
Dog,Maltese/Miniature Poodle
Dog,Maltese/Miniature Poodle
Dog,Maltese/Miniature Poodle
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Other,Bat Mix
Bird,Chicken Mix
Dog,Miniature Schnauzer/Yorkshire Terrier
Cat,Domestic Shorthair Mix
Dog,Chihuahua Shorthair Mix
Other,Bat Mix
Cat,Domestic Shorthair Mix
Dog,Chihuahua Shorthair Mix
Dog,Chihuahua Shorthair Mix
Dog,Chihuahua Shorthair Mix
Dog,Chihuahua Shorthair Mix
Dog,Golden Retriever/Standard Poodle
Dog,Jack Russell Terrier/Whippet
Cat,Domestic Medium Hair
Cat,Domestic Shorthair Mix
Dog,Catahoula Mix
Dog,Rhod Ridgeback/German Shepherd
Dog,Labrador Retriever Mix
Dog,Feist/Beagle
Dog,Feist/Beagle
Dog,Feist/Beagle
Dog,Feist/Beagle
Dog,Feist/Beagle
Dog,Feist/Beagle
Dog,Feist/Beagle
Dog,Feist/Beagle
Dog,Feist/Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Beagle
Dog,Dachshund Longhair Mix
Dog,Pit Bull Mix
Dog,Pit Bull Mix
Dog,Pit Bull Mix
Dog,Pit Bull Mix
Dog,Chihuahua Shorthair Mix
Dog,Miniature Poodle Mix
Dog,Pit Bull/Chinese Sharpei
Dog,Boxer Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Dog,Australian Cattle Dog
Dog,Pointer/Collie Smooth
Dog,Pointer/Collie Smooth
Dog,Pointer/Collie Smooth
Dog,Pointer/Collie Smooth
Dog,Labrador Retriever Mix
Dog,Chihuahua Shorthair Mix
Dog,Chihuahua Shorthair Mix
Dog,Chihuahua Shorthair Mix
Dog,Chihuahua Shorthair Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Dog,Queensland Heeler
Dog,Queensland Heeler
Dog,Queensland Heeler
Dog,Queensland Heeler
Dog,Queensland Heeler
Dog,Queensland Heeler
Dog,Queensland Heeler
Dog,Queensland Heeler
Dog,Queensland Heeler
Dog,German Shepherd Mix
Dog,Labrador Retriever/Flat Coat Retriever
Dog,Dachshund Mix
Dog,Border Collie
Dog,Pit Bull Mix
Dog,Pit Bull Mix
Dog,Pit Bull Mix
Dog,Pit Bull Mix
Other,Bat Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
Other,Bat Mix
Cat,Domestic Shorthair Mix
Dog,Beagle Mix
Dog,Beagle Mix
Dog,Beagle Mix
Dog,Beagle Mix
Dog,Labrador Retriever Mix
Dog,Chihuahua Shorthair Mix
Dog,Chihuahua Shorthair Mix
Dog,Pit Bull Mix
Dog,Pointer Mix
Dog,Boxer Mix
Cat,Domestic Shorthair Mix
Cat,Domestic Shorthair Mix
