Animal_ID,Found_Address
A686845,14400 Larkdale Ln in Travis (TX)
A686845,14400 Larkdale Ln in Travis (TX)
A693989,1200 W Saint Johns in Austin (TX)
A693989,1200 W Saint Johns in Austin (TX)
A693989,1200 W Saint Johns in Austin (TX)
A693989,Austin (TX)
A693989,Austin (TX)
A693989,Austin (TX)
A693989,Austin (TX)
A693989,Austin (TX)
A693989,Austin (TX)
A683157,420 W Slaughter in Austin (TX)
A700873,2200 Berkeley Ave in Austin (TX)
A681976,13 Club Estates in Lakeway (TX)
A718700,412 E William Cannon Dr in Austin (TX)
A744847,1820 Kenwood Ave in Austin (TX)
A680463,7Th And Neches in Austin (TX)
A682824,Austin (TX)
A725249,S Pleasant Valley And E St Elmo Rd in Austin (TX)
A669594,Taylor Gaines St & Parker Ln in Austin (TX)
A732019,Outside Jurisdiction
A727242,Fm 969 And Highway 30 in Travis (TX)
A663237,2300 East 2Nd St in Austin (TX)
A663237,2300 East 2Nd St in Austin (TX)
A663237,Cesar Chavez And Martinez in Austin (TX)
A663237,Cesar Chavez And Martinez in Austin (TX)
A739444,Austin (TX)
A685176,Hwy 183 And Duval Rd in Austin (TX)
A654580,Austin (TX)
A743911,Austin (TX)
A739166,5912 Marilyn Dr in Austin (TX)
A722303,6203 Saddler Ln in Austin (TX)
A726513,2700 West Pecan St in Travis (TX)
A726513,2700 West Pecan St in Travis (TX)
A726513,15500 Sun Light Near Way in Travis (TX)
A726513,15500 Sun Light Near Way in Travis (TX)
A695546,2400 Grove Blvd in Austin (TX)
A730239,9011 Briardale Dr in Austin (TX)
A697713,Austin (TX)
A697713,Austin (TX)
A697713,Blue Bonnett And Stoneleigh in Austin (TX)
A697713,Blue Bonnett And Stoneleigh in Austin (TX)
A610074,Austin (TX)
A717694,9300 S Ih 35 Frontage Rd in Austin (TX)
A721113,8202 Furness Cv in Austin (TX)
A708894,Manor (TX)
A708894,Manor (TX)
A708894,Manor (TX)
A708894,Outside Jurisdiction
A708894,Outside Jurisdiction
A708894,Outside Jurisdiction
A708894,Leander (TX)
A708894,Leander (TX)
A708894,Leander (TX)
A697486,1901 E Anderson Ln in Austin (TX)
A703236,5917 Little Creek Trail in Austin (TX)
A735883,7201 Levander Loop in Austin (TX)
A718058,Austin (TX)
A722598,Old Lockhart in Travis (TX)
A387083,12401 N Lamar in Austin (TX)
A697633,3112 Speidel Dr in Austin (TX)
A697633,3112 Speidel Dr in Austin (TX)
A697633,3112 Speidel in Travis (TX)
A697633,3112 Speidel in Travis (TX)
A675014,512 W Stassney in Austin (TX)
A665453,Austin (TX)
A665453,Austin (TX)
A665453,290/ Cameron Rd in Austin (TX)
A665453,290/ Cameron Rd in Austin (TX)
A710949,Austin (TX)
A738302,900 Broken Feather Trl in Austin (TX)
A669223,Travis (TX)
A735848,7201 Levander in Austin (TX)
A666507,923 Walter St in Austin (TX)
A636900,5111 Single Shot in Austin (TX)
A636900,5111 Single Shot in Austin (TX)
A636900,Austin (TX)
A636900,Austin (TX)
A689208,12300 Hymeadow Dr. #307 in Austin (TX)
A693900,Austin (TX)
A702378,5214 Duval Rd in Austin (TX)
A685971,Austin (TX)
A669146,Austin (TX)
A669146,Austin (TX)
A669146,6601 Manor Rd in Austin (TX)
A669146,6601 Manor Rd in Austin (TX)
A682146,Austin (TX)
A682146,Austin (TX)
A682146,8106 Parmer Lane in Travis (TX)
A682146,8106 Parmer Lane in Travis (TX)
A721955,2900 Sunridge Drive Bldg 13 in Austin (TX)
A730216,Shoal Creek Blvd And Hancock Dr in Austin (TX)
A672548,103 W Odell St in Austin (TX)
A671302,Austin (TX)
A716372,12304 Elm Valley Dr in Travis (TX)
A716372,12304 Elm Valley Dr in Travis (TX)
A716372,12304 Elm Valley Dr in Travis (TX)
A716372,12304 Elm Valley Dr in Travis (TX)
A716372,Austin (TX)
A716372,Austin (TX)
A716372,Austin (TX)
A716372,Austin (TX)
A716372,Austin (TX)
A716372,Austin (TX)
A716372,Austin (TX)
A716372,Austin (TX)
A716372,Austin (TX)
A716372,Austin (TX)
A716372,Austin (TX)
A716372,Austin (TX)
A685008,3811 E 12Th St in Austin (TX)
A705147,Austin (TX)
A705147,Austin (TX)
A705147,2305 Teri Rd. in Austin (TX)
A705147,2305 Teri Rd. in Austin (TX)
A716832,E Stassney And Pleasant Valley in Austin (TX)
A681972,4108 Nixon Ln in Austin (TX)
A721654,Braker Ln And Lamar Blvd in Austin (TX)
A680040,2309 Berkeley #1085 in Austin (TX)
A711790,1228 Eleanor St in Austin (TX)
A692612,7310 Meador Ave in Austin (TX)
A677735,Austin (TX)
A722299,2201 Barton Springs Rd in Austin (TX)
A695867,Cameron Rd in Austin (TX)
A695867,Cameron Rd in Austin (TX)
A695867,Austin (TX)
A695867,Austin (TX)
A716434,11729 Lime Creek Road in Leander (TX)
A683591,Red River And 41St St in Austin (TX)
A661030,5300 Jimmy Clay Drive in Austin (TX)
A679736,2900 Sunridge Dr in Austin (TX)
A683976,1303 Bob Harrison in Austin (TX)
A735481,Outside Jurisdiction
A735481,Outside Jurisdiction
A735481,401 Little Texas Ln in Austin (TX)
A735481,401 Little Texas Ln in Austin (TX)
A694659,220 Pompton Dr in Austin (TX)
A683051,Northridge And Rogge in Austin (TX)
A660046,13212 High Sierra St in Manor (TX)
A743587,1317 W. 10Th in Austin (TX)
A713881,4534 Westgate Blvd in Austin (TX)
A609631,2209 Kinney in Austin (TX)
A700013,2205 Voyageurs in Austin (TX)
A728358,6403 Farmdale Ln in Austin (TX)
A716551,13802 Hokanson Rd in Travis (TX)
A665207,4216 S Congress Ave in Austin (TX)
A724861,Del Valle (TX)
A698804,2100 Barton Springs Rd in Austin (TX)
A698804,2100 Barton Springs Rd in Austin (TX)
A698804,2100 Barton Springs Rd in Austin (TX)
A698804,2621 Blake Street in Austin (TX)
A698804,2621 Blake Street in Austin (TX)
A698804,2621 Blake Street in Austin (TX)
A698804,S 1St And Heartwood Dr in Austin (TX)
A698804,S 1St And Heartwood Dr in Austin (TX)
